Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2023,474.95,474.95,465.65,467.30,469.717425988299946817,11282,767,5299352.00,4397,38.97,9.30,-7.65
9-March-2023,460.05,479.75,460.05,476.25,471.774203273040482342,46440,2460,21909194.00,18396,39.61,19.70,16.20
8-March-2023,460.00,469.45,459.90,462.75,465.077986348122866894,29300,2102,13626785.00,8803,30.04,9.55,2.75
6-March-2023,463.35,472.50,462.60,464.60,467.988891619562546080,20345,1102,9521234.00,8714,42.83,9.90,1.25
3-March-2023,470.00,473.35,463.35,465.05,468.630587787711622598,10514,575,4927182.00,4903,46.63,10.00,-4.95
2-March-2023,478.95,478.95,468.00,469.20,471.683059099032476736,16227,1273,7654001.00,8263,50.92,10.95,-9.75
1-March-2023,463.10,479.85,463.10,476.20,475.563985056039850560,20075,1001,9546947.00,7267,36.20,16.75,13.10
28-February-2023,450.00,474.00,447.80,468.15,456.863104621256118808,12053,860,5506571.00,5201,43.15,26.20,18.15
27-February-2023,450.20,455.65,445.10,450.70,450.006664303438496986,28210,1925,12694688.00,14084,49.93,10.55,0.50
24-February-2023,461.00,472.00,451.95,453.70,464.261409478373732767,57014,2911,26469400.00,15057,26.41,20.05,-7.30
23-February-2023,449.10,458.95,449.10,453.05,454.445069080514530728,10495,634,4769401.00,4088,38.95,9.85,3.95
22-February-2023,448.05,457.10,445.70,450.95,452.125014597687726264,17126,845,7743093.00,7495,43.76,11.40,2.90
21-February-2023,458.65,464.95,451.35,452.55,458.566345528695549382,16919,936,7758484.00,9374,55.41,13.60,-6.10
20-February-2023,477.00,480.50,460.00,461.75,468.658041284595737553,23883,1624,11192960.00,10321,43.21,20.50,-15.25
17-February-2023,479.95,486.85,475.65,477.65,480.702945764889419106,10897,944,5238220.00,4141,38.00,11.20,-2.30
16-February-2023,464.05,483.00,464.05,481.10,475.965250775212875916,40634,2691,19340372.00,15025,36.98,18.95,17.05
15-February-2023,440.00,472.55,438.10,463.95,461.655856714409843877,35677,2729,16470496.00,9348,26.20,34.45,23.95
14-February-2023,460.05,462.75,441.00,443.95,448.816741298254625855,89551,6474,40191988.00,39550,44.16,21.75,-16.10
13-February-2023,482.20,485.00,461.85,466.20,470.876400328398527503,37759,1719,17779822.00,11000,29.13,23.15,-16.00
10-February-2023,479.80,487.35,479.55,483.45,483.989877625018885027,6619,417,3203529.00,2663,40.23,7.80,3.65
9-February-2023,479.30,486.95,477.30,479.25,481.899983190452176836,17847,1503,8600469.00,9091,50.94,9.65,-0.05
8-February-2023,484.35,484.95,477.50,479.85,479.589087546239210850,16220,722,7778935.00,3834,23.64,7.45,-4.50
7-February-2023,492.50,492.50,475.65,477.50,481.611308361441505414,11266,900,5425833.00,3911,34.72,16.85,-15.00
6-February-2023,494.40,504.45,481.30,482.95,487.343891886117194594,18721,1367,9123565.00,6292,33.61,23.15,-11.45
3-February-2023,522.00,523.80,495.95,502.00,505.793082832630855229,33453,2477,16920296.00,15899,47.53,27.85,-20.00
2-February-2023,505.05,528.20,505.05,514.55,519.901415066643180083,17031,1500,8854441.00,4499,26.42,23.15,9.50
1-February-2023,486.00,533.95,485.15,509.15,517.606352595987742736,230394,11797,119253398.00,54186,23.52,48.80,23.15
31-January-2023,479.95,485.00,469.45,477.60,479.915941774302199572,34143,2623,16385770.00,12111,35.47,15.55,-2.35
30-January-2023,466.00,476.30,461.00,471.50,470.472952779438135086,13384,996,6296810.00,5675,42.40,15.30,5.50
27-January-2023,478.95,478.95,460.25,464.65,465.639723049673939296,24842,1350,11567422.00,15921,64.09,18.70,-14.30
25-January-2023,475.45,477.75,470.45,473.70,473.656555013309671694,36064,2669,17081950.00,12155,33.70,7.30,-1.75
24-January-2023,475.05,485.70,474.30,475.30,478.790544871794871794,6240,463,2987653.00,2638,42.28,11.40,0.25
23-January-2023,485.00,486.50,473.20,475.35,477.051155473581425626,18434,1265,8793961.00,10645,57.75,13.30,-9.65
20-January-2023,490.00,492.80,483.90,485.20,488.366547518148653130,27137,2068,13252803.00,11222,41.35,8.90,-4.80
19-January-2023,485.00,495.95,485.00,490.90,491.955980335079888737,30918,1712,15210295.00,7561,24.46,10.95,5.90
18-January-2023,494.95,494.95,486.35,488.90,489.986079893747445852,39152,2444,19183935.00,8209,20.97,8.60,-6.05
17-January-2023,490.05,498.20,486.00,488.45,490.097041747304395908,32553,3063,15954129.00,13740,42.21,12.20,-1.60
16-January-2023,504.45,504.45,491.30,492.45,494.370303654143077714,7772,558,3842246.00,3524,45.34,13.15,-12.00
13-January-2023,499.95,503.35,495.30,496.90,499.193559305642860596,20681,1755,10323822.00,7156,34.60,8.05,-3.05
12-January-2023,495.90,503.20,492.00,494.90,497.295086908469808098,9953,688,4949578.00,4171,41.91,11.20,-1.00
11-January-2023,495.05,503.00,494.75,495.90,498.779863725163196264,20987,1829,10467893.00,9852,46.94,8.25,0.85
10-January-2023,504.10,505.95,497.10,499.60,502.115496432032420051,34053,2307,17098539.00,16579,48.69,8.85,-4.50
9-January-2023,504.05,512.95,501.60,504.10,506.249656512851445997,29841,1953,15106996.00,9937,33.30,11.35,0.05
6-January-2023,507.30,511.90,502.20,503.90,506.219952556668423827,7588,639,3841197.00,3058,40.30,9.70,-3.40
5-January-2023,512.95,512.95,500.15,506.90,506.344409203040829683,39726,2413,20115038.00,10901,27.44,12.80,-6.05
4-January-2023,510.20,515.00,505.20,507.35,508.291650996615268898,5318,468,2703095.00,2885,54.25,9.80,-2.85
3-January-2023,504.00,519.85,504.00,512.05,513.467782006554604080,37836,2207,19427567.00,10238,27.06,15.85,8.05
2-January-2023,508.00,510.40,503.35,505.10,506.165822592873388931,32975,2254,16690818.00,10532,31.94,7.05,-2.90
30-December-2022,505.20,515.85,505.20,508.95,510.997384298817703065,28673,1819,14651828.00,7517,26.22,10.65,3.75
29-December-2022,513.35,513.35,504.40,506.25,506.658655774771160789,27421,1883,13893087.00,8452,30.82,8.95,-7.10
28-December-2022,509.15,520.80,504.75,511.15,514.035092765712642025,13906,949,7148172.00,6053,43.53,16.05,2.00
27-December-2022,514.95,519.00,503.35,508.30,509.780480241006556796,45144,3471,23013530.00,14079,31.19,15.65,-6.65
26-December-2022,473.05,512.15,468.00,508.05,497.514367142968688998,25614,1894,12743333.00,7492,29.25,44.15,35.00
23-December-2022,496.00,499.75,472.70,475.10,482.671048379431612964,105210,9035,50781821.00,50862,48.34,27.05,-20.90
22-December-2022,518.00,525.30,490.40,502.15,500.591599441887318974,124706,9410,62426776.00,53434,42.85,34.90,-15.85
21-December-2022,522.05,533.35,516.00,519.75,525.147939346811819595,15432,1190,8104083.00,8738,56.62,17.35,-2.30
20-December-2022,529.95,529.95,523.00,526.15,525.532119546547578151,8733,670,4589472.00,3866,44.27,6.95,-3.80
19-December-2022,533.00,536.45,519.00,523.65,527.478570964035639185,46129,3021,24332059.00,23611,51.18,17.45,-9.35
16-December-2022,530.05,545.95,530.00,532.75,537.509789702683103698,39991,2696,21495554.00,12847,32.12,15.95,2.70
15-December-2022,545.00,549.80,533.80,539.15,543.197856648997464853,8678,821,4713871.00,3567,41.10,16.00,-5.85
14-December-2022,531.65,548.75,524.45,543.60,541.734615093482703807,26422,1644,14313712.00,10286,38.93,24.30,11.95
13-December-2022,528.00,531.05,521.40,522.55,525.187869073730386367,11854,936,6225577.00,6915,58.33,9.65,-5.45
12-December-2022,523.05,530.90,523.00,528.65,526.863807890222984562,11660,1067,6143232.00,6111,52.41,7.90,5.60
9-December-2022,531.05,537.80,524.80,527.80,530.552225452918810109,13413,959,7116297.00,6162,45.94,13.00,-3.25
8-December-2022,547.40,547.40,529.75,531.00,534.953862660944206008,12116,935,6481501.00,5744,47.41,17.65,-16.40
7-December-2022,539.75,544.35,538.10,540.25,540.536082474226804123,7469,625,4037264.00,3221,43.12,6.25,0.50
6-December-2022,540.05,549.10,538.50,539.75,541.676980034377892370,7563,618,4096703.00,4518,59.74,10.60,-0.30
5-December-2022,542.95,552.00,539.70,546.55,546.357449242207606519,13988,1201,7642448.00,7880,56.33,12.30,3.60
2-December-2022,541.65,543.15,530.85,536.50,536.381641144668685782,35329,3386,18949827.00,17413,49.29,12.30,-5.15
1-December-2022,548.95,548.95,540.35,541.65,542.867743761703610155,22963,1907,12465872.00,11975,52.15,8.60,-7.30
30-November-2022,541.05,547.70,540.00,543.30,543.009079480374353960,14318,748,7774804.00,9063,63.30,7.70,2.25
29-November-2022,540.95,545.95,538.20,539.65,541.455869501893387707,6866,520,3717636.00,2920,42.53,7.75,-1.30
28-November-2022,542.35,548.40,540.00,540.95,543.841600000000000000,8750,597,4758614.00,4821,55.10,8.40,-1.40
25-November-2022,544.25,549.55,541.00,542.35,544.165539263056174110,23801,1694,12951684.00,9622,40.43,8.55,-1.90
24-November-2022,537.00,551.95,537.00,544.80,544.337466851875236772,39595,2380,21553042.00,14704,37.14,14.95,7.80
23-November-2022,519.10,540.00,519.10,537.55,533.440218548215426098,56372,3229,30071092.00,21003,37.26,20.90,18.45
22-November-2022,522.05,531.75,515.25,518.60,523.509010318267693649,13762,856,7204531.00,6153,44.71,16.50,-3.45
21-November-2022,530.40,540.75,523.60,524.85,528.645929717491879121,20318,1350,10741028.00,11402,56.12,17.15,-5.55
18-November-2022,545.00,550.10,533.65,536.15,541.393708136598221148,18214,1035,9860945.00,7830,42.99,16.45,-8.85
17-November-2022,538.05,549.85,538.05,547.25,545.779837017252187184,36691,2487,20025208.00,13767,37.52,11.80,9.20
16-November-2022,549.95,550.90,538.50,541.30,544.583101275098930089,13646,1047,7431381.00,5524,40.48,12.40,-8.65
15-November-2022,543.00,550.00,543.00,548.75,547.287901990811638591,11101,861,6075443.00,4832,43.53,7.00,5.75
14-November-2022,548.95,548.95,540.05,542.85,542.901950634773606494,36706,3382,19927759.00,19298,52.57,8.90,-6.10
11-November-2022,560.00,564.10,545.80,547.45,550.519116397621070518,20009,1337,11015337.00,8905,44.50,18.30,-12.55
10-November-2022,549.35,559.50,540.45,549.85,551.061994349556953897,31148,2237,17164479.00,11400,36.60,19.05,0.50
9-November-2022,580.00,583.10,565.05,567.25,573.742328012589928057,35584,2921,20416047.00,16086,45.21,18.05,-12.75
7-November-2022,580.75,589.55,577.35,578.90,583.065760152803674564,21989,1292,12821033.00,6627,30.14,12.20,-1.85
4-November-2022,575.40,584.70,570.00,577.50,576.916028907789832555,56317,3141,32490180.00,20617,36.61,14.70,2.10
3-November-2022,573.00,583.00,571.10,575.55,577.657214390681978990,36746,1944,21226592.00,13477,36.68,11.90,2.55
2-November-2022,580.40,584.10,576.40,577.55,580.517949424653758699,14513,1197,8425057.00,4584,31.59,7.70,-2.85
1-November-2022,561.25,584.00,561.15,580.75,575.593780903197450829,36404,2220,20953916.00,8739,24.01,22.85,19.50
31-October-2022,566.80,571.00,555.85,563.60,561.131819163875985740,37028,2996,20777589.00,15521,41.92,15.15,-3.20
28-October-2022,565.65,572.00,556.65,561.60,563.208894388237863017,13739,886,7737927.00,4550,33.12,15.35,-4.05
27-October-2022,565.50,574.80,558.35,569.00,564.275508367824365664,16671,1171,9407037.00,5677,34.05,16.45,3.50
25-October-2022,574.20,580.00,561.00,565.50,570.216385305447118740,38681,2818,22056540.00,14943,38.63,19.00,-8.70
