Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2023,116.95,118.00,113.15,113.60,115.277828828138959083,78354,1295,9032479.00,36597,46.71,4.85,-3.35
9-March-2023,107.05,118.80,107.05,117.75,116.153083827351762461,156202,2175,18143344.00,66945,42.86,11.75,10.70
8-March-2023,107.50,110.00,106.70,109.00,108.700405119564048327,278930,966,30319804.00,250567,89.83,3.30,1.50
6-March-2023,107.05,109.60,106.50,108.30,107.797718158335106893,239631,1542,25831675.00,184653,77.06,3.10,1.25
3-March-2023,107.85,110.90,105.65,108.35,108.254038405867026922,51815,1181,5609183.00,8662,16.72,5.25,0.50
2-March-2023,106.30,110.10,105.10,107.85,107.376459631778780714,83754,1851,8993208.00,23569,28.14,5.00,1.55
1-March-2023,101.60,107.75,100.90,107.15,103.453759568710448452,94971,1578,9825107.00,21319,22.45,6.85,5.55
28-February-2023,107.55,108.25,100.55,101.95,104.358635684748483586,98423,1776,10271290.00,20541,20.87,7.70,-5.60
27-February-2023,105.35,108.00,103.90,107.60,106.935367210682492581,75488,1380,8072337.00,16986,22.50,4.10,2.25
24-February-2023,103.00,108.75,101.65,107.90,106.018738149235974272,53794,1720,5703172.00,28164,52.36,7.10,4.90
23-February-2023,97.45,104.25,95.80,102.40,101.097360437337866951,68231,1582,6897974.00,30669,44.95,8.45,4.95
22-February-2023,94.55,98.85,94.00,97.55,97.252168415229288917,101226,1109,9844448.00,76841,75.91,4.85,3.00
21-February-2023,96.45,98.25,94.85,95.15,96.669396904772168814,23197,520,2242440.00,2956,12.74,3.40,-1.30
20-February-2023,96.00,97.10,94.10,96.35,95.539909946786737617,21987,722,2100636.00,5322,24.21,3.00,0.35
17-February-2023,92.60,96.60,92.60,96.15,94.635308655240960618,74452,1678,7045788.00,16476,22.13,4.00,3.55
16-February-2023,91.55,94.00,91.55,93.40,92.818899217548318063,29906,610,2775842.00,8293,27.73,2.45,1.85
15-February-2023,92.55,93.55,91.05,92.65,91.769724205414416699,55186,1139,5064404.00,9507,17.23,2.50,0.10
14-February-2023,90.50,94.30,90.50,92.95,92.291210522434586738,149167,1541,13766803.00,13949,9.35,3.80,2.45
13-February-2023,91.25,95.10,91.25,91.65,93.325754576475689534,212172,1428,19801112.00,54121,25.51,3.85,0.40
10-February-2023,93.40,95.90,91.95,92.85,94.428236347792408985,413120,3715,39010193.00,91851,22.23,3.95,-0.55
9-February-2023,94.10,95.45,92.80,94.85,94.469272882867076528,279281,2329,26383473.00,34543,12.37,2.65,0.75
8-February-2023,90.85,97.00,90.85,94.50,94.015702024997841880,220099,1831,20692762.00,9400,4.27,6.15,3.65
7-February-2023,91.70,93.75,91.10,92.60,92.999696272833774460,138282,1583,12860184.00,17762,12.84,2.65,0.90
6-February-2023,91.60,92.75,89.60,91.70,90.766817052770314796,39454,646,3581114.00,28067,71.14,3.15,0.10
3-February-2023,95.25,95.25,90.00,92.50,91.805319906331220353,116581,1344,10702756.00,41535,35.63,5.25,-2.75
2-February-2023,91.95,96.50,90.65,93.60,94.117284980625544616,53937,1381,5076404.00,19038,35.30,5.85,1.65
1-February-2023,97.60,103.70,90.00,92.70,99.188154228481060320,79674,2207,7902717.00,23432,29.41,13.70,-4.90
31-January-2023,102.00,102.00,94.95,95.50,96.160845114601303967,44633,866,4291947.00,27501,61.62,7.05,-6.50
30-January-2023,95.80,98.75,95.40,96.65,97.239577088669682271,18349,759,1784249.00,6797,37.04,3.35,0.85
27-January-2023,101.10,102.70,93.90,95.75,95.070224213452807168,99994,1666,9506452.00,69202,69.21,8.80,-5.35
25-January-2023,105.90,106.90,100.35,101.10,104.499183649949098173,52061,1136,5440332.00,13155,25.27,6.55,-4.80
24-January-2023,106.30,107.30,104.60,105.90,105.607958556301946942,87830,915,9275547.00,32542,37.05,2.70,-0.40
23-January-2023,105.95,108.30,105.75,106.25,108.037660308573660568,122888,452,13276532.00,107780,87.71,2.55,0.30
