Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2023,8.62,8.64,8.36,8.41,8.493421780032023871,20530934,10220,174377882.00,5355340,26.08,0.28,-0.21
9-March-2023,8.66,8.93,8.66,8.71,8.802760027619393110,21970070,10591,193397254.00,5552762,25.27,0.27,0.05
8-March-2023,8.51,8.71,8.45,8.62,8.567056240336076793,12679245,3773,108623805.00,4410520,34.79,0.26,0.11
6-March-2023,8.57,8.87,8.53,8.59,8.687756175966778209,34836894,11177,302654441.00,12975015,37.24,0.34,0.02
3-March-2023,8.30,8.73,8.30,8.51,8.506028558825540144,27557996,7352,234409101.00,9315156,33.80,0.43,0.21
2-March-2023,8.38,8.44,8.21,8.24,8.311381452902457418,17081422,4666,141970214.00,4716906,27.61,0.23,-0.14
1-March-2023,8.26,8.57,8.23,8.39,8.408972512718664194,21594642,6372,181588751.00,5148894,23.84,0.34,0.13
28-February-2023,8.15,8.30,8.06,8.19,8.140170044782822517,21086210,9094,171645335.00,5872548,27.85,0.24,0.04
27-February-2023,8.40,8.40,8.05,8.10,8.139037767108197565,25412642,15357,206834453.00,8191637,32.23,0.35,-0.30
24-February-2023,8.20,8.54,8.17,8.43,8.380755769633388241,28013695,21366,234775936.00,8520897,30.42,0.37,0.23
23-February-2023,8.30,8.33,8.07,8.16,8.201735357130415597,24801696,10497,203416947.00,7242545,29.20,0.26,-0.14
22-February-2023,8.39,8.47,8.21,8.31,8.307438701021403811,21423848,11711,177977304.00,7116666,33.22,0.26,-0.08
21-February-2023,8.61,8.63,8.34,8.42,8.512605117244702423,14074879,5458,119813887.00,4092182,29.07,0.29,-0.19
20-February-2023,8.90,9.09,8.44,8.54,8.791479629013840819,30493860,14053,268086149.00,8834393,28.97,0.65,-0.36
17-February-2023,8.90,9.12,8.86,8.90,8.960174501899841914,20475651,8292,183465406.00,5081495,24.82,0.26,0.00
