Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2023,208.00,209.25,206.00,208.80,208.236768756178768511,302447,4509,62980586.00,98050,32.42,3.25,0.80
9-March-2023,212.00,212.80,209.35,209.65,211.259367262538676808,297659,4650,62883252.00,106903,35.91,3.45,-2.35
8-March-2023,209.95,211.90,208.05,211.25,210.426927699370185266,304534,5520,64082154.00,96775,31.78,3.85,1.30
6-March-2023,207.80,212.95,207.80,210.25,210.440570953176996266,512056,6706,107757357.00,221550,43.27,5.15,2.45
3-March-2023,205.75,209.20,205.75,207.70,208.050412125541380733,1730298,18141,359989212.00,923380,53.37,3.45,1.95
2-March-2023,204.20,206.30,203.70,205.65,205.475019129542740864,951408,11331,195490577.00,726476,76.36,2.60,1.45
1-March-2023,203.05,205.35,202.35,204.40,204.311619977690316334,332591,4664,67952206.00,123910,37.26,3.00,1.35
28-February-2023,200.25,203.00,199.60,202.50,201.283618708758688579,1464854,17246,294851114.00,753041,51.41,3.40,2.25
27-February-2023,202.25,202.25,197.55,199.80,199.120356823699673386,632245,9534,125892850.00,222716,35.23,4.70,-2.45
24-February-2023,201.60,202.95,201.30,202.25,202.110852623999250103,938796,12855,189740860.00,545159,58.07,1.65,0.65
23-February-2023,202.50,203.55,200.65,201.30,202.168394099695598752,775621,8362,156806052.00,416268,53.67,2.90,-1.20
22-February-2023,207.75,207.75,201.65,202.15,203.770356556231681212,1313201,14522,267591436.00,883983,67.32,6.10,-5.60
21-February-2023,204.35,209.70,204.35,207.90,207.691964458210267799,647013,7531,134379401.00,192227,29.71,5.35,3.55
20-February-2023,204.90,205.30,202.25,203.80,203.662044470951660014,523128,6724,106541318.00,315029,60.22,3.05,-1.10
17-February-2023,204.60,206.10,204.20,204.70,205.160200285979143303,596547,7268,122387702.00,385424,64.61,1.90,0.10
16-February-2023,205.95,206.30,204.65,205.05,205.541035076810161163,784792,13396,161306960.00,393232,50.11,1.65,-0.90
15-February-2023,202.95,205.70,202.50,205.30,204.338453963564746430,294495,4726,60176653.00,95171,32.32,3.20,2.35
14-February-2023,203.30,204.50,201.95,203.10,202.982660545531392223,856486,15894,173851807.00,413816,48.32,2.55,-0.20
13-February-2023,205.00,206.25,202.40,203.65,203.953674324786495480,400577,5938,81699151.00,192624,48.09,3.85,-1.35
10-February-2023,205.55,206.20,202.90,204.80,204.648222431715943386,632212,14386,129381062.00,261152,41.31,3.30,-0.75
9-February-2023,207.00,207.60,203.55,205.55,205.500083347224537422,275954,4690,56708570.00,99486,36.05,4.05,-1.45
8-February-2023,206.00,207.50,204.15,207.05,205.936969965080052332,424972,6047,87517446.00,138801,32.66,3.35,1.05
7-February-2023,209.95,209.95,204.95,206.15,206.866754330322210235,431954,6616,89356922.00,135155,31.29,5.00,-3.80
6-February-2023,209.05,212.80,207.00,208.50,209.416171686792379713,928994,11717,194546367.00,286583,30.85,5.80,-0.55
3-February-2023,207.55,208.30,202.00,205.30,204.769091989024513403,584211,8963,119628356.00,240762,41.21,6.30,-2.25
2-February-2023,205.85,208.80,204.15,206.30,206.503984788359788359,483840,8099,99914888.00,137147,28.35,4.65,0.45
