Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2023,80.50,81.00,78.50,79.59,80.208288896788719042,33756,264,2707511.00,27180,80.52,2.50,-0.91
9-March-2023,82.50,82.50,78.60,79.79,80.350841033744403604,87333,388,7017280.00,80898,92.63,3.90,-2.71
8-March-2023,79.01,80.89,79.01,79.95,79.954550396868544090,64379,85,5147394.00,63373,98.44,1.88,0.94
6-March-2023,78.56,81.79,78.56,80.59,80.517422321797063852,16961,617,1365656.00,13760,81.13,3.23,2.03
3-March-2023,83.69,83.69,78.70,78.97,79.524936834010765681,18206,380,1447831.00,13662,75.04,4.99,-4.72
2-March-2023,86.25,86.25,79.35,79.90,80.801393728222996515,3157,122,255090.00,2444,77.42,6.90,-6.35
1-March-2023,76.65,82.19,76.65,81.56,80.555419623195497920,8174,193,658460.00,5421,66.32,5.54,4.91
28-February-2023,75.25,78.80,75.25,77.75,77.516930455635491606,20850,509,1616228.00,13578,65.12,3.55,2.50
27-February-2023,77.25,78.60,76.55,76.95,77.488756310234052317,8716,236,675392.00,6617,75.92,2.05,-0.30
24-February-2023,77.55,80.30,77.55,78.55,79.063881863424981643,12257,432,969086.00,6002,48.97,2.75,1.00
23-February-2023,77.65,81.00,77.65,79.05,79.477304088895344614,13769,515,1094323.00,9239,67.10,3.35,1.40
22-February-2023,81.30,81.30,78.25,78.95,79.505220643231114435,33425,892,2657462.00,23565,70.50,3.05,-2.35
21-February-2023,81.45,82.70,80.25,81.60,81.976444471850527224,16217,452,1329412.00,10714,66.07,2.45,0.15
20-February-2023,83.10,84.55,80.50,81.20,82.294175136825645035,10232,254,842034.00,7119,69.58,4.05,-1.90
17-February-2023,84.10,86.35,83.50,83.60,84.592679127725856697,7704,423,651702.00,4253,55.20,2.85,-0.50
16-February-2023,83.20,87.55,83.20,84.10,85.172641087195345241,24577,602,2093288.00,19857,80.80,4.35,0.90
15-February-2023,82.95,87.45,81.45,85.60,85.133099682125682614,12269,480,1044498.00,7172,58.46,6.00,2.65
14-February-2023,88.55,88.55,84.15,84.85,85.295293667495695427,10454,505,891677.00,7089,67.81,4.40,-3.70
13-February-2023,86.05,88.30,86.00,86.80,87.046830933649992578,13474,465,1172869.00,10471,77.71,2.30,0.75
10-February-2023,88.95,89.30,87.35,87.90,88.679965239374308737,12658,339,1122511.00,10956,86.55,1.95,-1.05
9-February-2023,88.15,89.75,88.10,88.50,88.373970105723660226,13715,549,1212049.00,11823,86.20,1.65,0.35
8-February-2023,88.05,90.60,88.05,88.50,89.168140535372848948,8368,276,746159.00,6055,72.36,2.55,0.45
7-February-2023,90.25,92.15,88.25,89.00,89.661229306215944191,28813,864,2583409.00,21877,75.93,3.90,-1.25
6-February-2023,91.40,92.40,90.05,91.80,91.373855011777021722,7642,223,698279.00,5001,65.44,2.35,0.40
3-February-2023,91.60,93.80,89.00,91.20,90.608682792859406358,47335,934,4288962.00,32227,68.08,4.80,-0.40
2-February-2023,90.90,93.10,90.00,91.40,91.210261672652642380,19490,583,1777688.00,11145,57.18,3.10,0.50
1-February-2023,97.75,97.75,90.95,91.00,93.559173649234325339,34610,679,3238083.00,27678,79.97,6.80,-6.75
31-January-2023,91.60,96.10,91.60,95.70,94.225329214761827345,6151,189,579580.00,4093,66.54,4.50,4.10
30-January-2023,93.00,94.10,91.05,91.55,92.167615830115830115,20720,533,1909713.00,13269,64.04,3.05,-1.45
27-January-2023,94.85,96.65,92.40,92.40,93.382417813254910198,19042,482,1778188.00,15759,82.76,4.25,-2.45
25-January-2023,94.45,97.90,92.95,97.25,95.214436372158425123,12801,355,1218840.00,7362,57.51,4.95,2.80
24-January-2023,94.05,96.50,93.50,94.30,94.321054476071804057,25681,440,2422259.00,18316,71.32,3.00,0.25
23-January-2023,97.50,98.05,94.55,94.60,95.177128412260094245,72789,999,6927848.00,39078,53.69,3.50,-2.90
20-January-2023,99.10,101.55,99.00,99.50,100.648413804410197557,12199,244,1227810.00,6322,51.82,2.55,0.40
19-January-2023,100.00,102.75,99.30,100.35,101.143752554843984194,14678,178,1484588.00,10277,70.02,3.45,0.35
18-January-2023,100.05,105.00,99.50,101.60,102.388863437591104077,24011,648,2458459.00,14126,58.83,5.50,1.55
17-January-2023,102.65,103.30,99.25,100.00,101.228840125391849529,10208,327,1033344.00,6551,64.18,4.05,-2.65
16-January-2023,101.95,105.80,101.90,102.85,103.804985652797704447,27880,453,2894083.00,16830,60.37,3.90,0.90
13-January-2023,102.50,105.50,98.45,102.05,102.532265691900665891,78241,1595,8022227.00,53176,67.96,7.05,-0.45
12-January-2023,98.30,101.15,96.10,101.15,99.407286301290583945,34558,624,3435317.00,22871,66.18,5.05,2.85
11-January-2023,97.00,98.00,96.00,96.35,96.969472905883595648,9467,330,918010.00,7617,80.46,2.00,-0.65
10-January-2023,98.00,98.85,94.20,96.45,96.712752458496351908,18914,459,1829225.00,15787,83.47,4.65,-1.55
9-January-2023,103.25,104.50,97.70,98.95,100.601724709784411276,45225,1013,4549713.00,37395,82.69,6.80,-4.30
6-January-2023,99.65,102.90,98.45,102.80,102.355885465575578708,201267,1714,20600862.00,122665,60.95,4.45,3.15
5-January-2023,93.55,98.00,93.50,98.00,97.420026881720430107,53568,432,5218596.00,50996,95.20,4.50,4.45
4-January-2023,94.50,94.90,91.60,93.35,92.925897836270354673,22415,624,2082934.00,17968,80.16,3.30,-1.15
3-January-2023,95.75,95.75,94.00,94.55,94.528177378909858783,7577,308,716240.00,5961,78.67,1.75,-1.20
2-January-2023,95.10,96.85,95.00,95.50,95.783652649912913660,8038,267,769909.00,5946,73.97,1.85,0.40
30-December-2022,95.55,98.00,95.05,95.55,96.249348925088086605,19583,436,1884851.00,14411,73.59,2.95,0.00
29-December-2022,101.95,101.95,95.20,96.15,96.427918424753867791,19908,569,1919687.00,13650,68.57,6.75,-5.80
28-December-2022,95.30,98.90,95.00,98.90,97.283534004969011931,36627,576,3563204.00,30860,84.25,3.90,3.60
27-December-2022,93.70,95.05,92.40,94.20,93.681489927784112504,5262,194,492952.00,3582,68.07,2.65,0.50
26-December-2022,87.30,92.80,85.50,91.95,91.184336991990507267,16855,365,1536912.00,14092,83.61,7.30,4.65
23-December-2022,88.50,91.25,88.35,88.40,88.435105346029841793,13337,193,1179459.00,12153,91.12,2.90,-0.10
22-December-2022,95.00,96.50,93.00,93.00,93.525665915974217597,12877,203,1204330.00,10675,82.90,3.50,-2.00
21-December-2022,103.00,105.05,97.85,97.85,100.618316343308122328,30410,588,3059803.00,20635,67.86,7.20,-5.15
20-December-2022,105.00,106.80,102.00,103.00,105.049293765159081181,70090,1094,7362905.00,41081,58.61,4.80,-2.00
19-December-2022,95.30,101.75,95.30,101.75,100.688377493930117175,9473,166,953821.00,8927,94.24,6.45,6.45
16-December-2022,94.25,97.50,94.20,96.95,96.096546139711607337,32109,774,3085564.00,22997,71.62,3.30,2.70
15-December-2022,95.05,98.10,95.05,95.60,96.255685593090407318,19567,519,1883435.00,15251,77.94,3.05,0.55
14-December-2022,94.50,98.50,94.50,96.65,96.694195612431444241,21880,586,2115669.00,10476,47.88,4.00,2.15
13-December-2022,95.95,96.00,94.20,95.35,95.019193196184346626,8701,360,826762.00,5514,63.37,1.80,-0.60
12-December-2022,93.20,97.40,91.75,95.00,95.177261209650765671,9077,303,863924.00,6160,67.86,5.65,1.80
9-December-2022,94.15,94.70,92.50,92.80,93.411608044815869225,10889,270,1017159.00,8743,80.29,2.20,-1.35
8-December-2022,93.60,95.80,93.30,93.70,93.954951952452369049,18003,453,1691471.00,13722,76.22,2.50,0.10
