Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2023,1080.95,1080.95,1061.60,1066.05,1067.991363501922508133,33810,3070,36108788.00,15395,45.53,19.35,-14.90
22-March-2023,1084.05,1105.40,1079.05,1081.20,1088.206161602016524296,35705,3796,38854401.00,15418,43.18,26.35,-2.85
21-March-2023,1100.00,1102.15,1077.60,1084.00,1083.198839498497565019,38604,4206,41815808.00,17960,46.52,24.55,-16.00
20-March-2023,1100.00,1107.30,1086.10,1091.50,1093.248717187566260972,23581,2419,25779898.00,9717,41.21,21.20,-8.50
17-March-2023,1077.50,1117.00,1077.50,1108.25,1101.269275138091554361,73683,6199,81144824.00,28982,39.33,39.50,30.75
16-March-2023,1079.15,1087.00,1069.45,1072.10,1078.272686576709087420,62548,8267,67443800.00,42184,67.44,17.55,-7.05
15-March-2023,1090.05,1097.10,1075.40,1079.70,1082.718628071285458188,37932,3792,41069683.00,16231,42.79,21.70,-10.35
14-March-2023,1098.10,1103.00,1065.80,1084.05,1090.364450144277011862,233925,6710,255063504.00,29234,12.50,37.20,-14.05
13-March-2023,1111.60,1133.40,1094.55,1098.75,1111.026446896680169483,64431,5413,71584545.00,28011,43.47,38.85,-12.85
10-March-2023,1102.00,1117.65,1102.00,1116.90,1113.901681480736922215,69641,3969,77573227.00,49838,71.56,15.65,14.90
9-March-2023,1123.00,1126.45,1114.10,1116.95,1117.602652985209126845,83227,3286,93014716.00,65347,78.52,12.35,-6.05
8-March-2023,1112.00,1123.35,1107.45,1120.75,1117.491540871546567929,35110,2469,39235128.00,9911,28.23,15.90,8.75
6-March-2023,1125.05,1148.00,1123.55,1126.50,1135.805019877766569750,84265,6218,95708610.00,41237,48.94,24.45,1.45
3-March-2023,1108.95,1129.45,1108.95,1119.15,1123.385416810220084616,72563,4891,81516216.00,41545,57.25,20.50,10.20
2-March-2023,1090.20,1116.90,1090.20,1106.55,1107.315282927011946223,53406,3960,59137280.00,23493,43.99,26.70,16.35
1-March-2023,1077.55,1103.95,1077.55,1101.20,1094.359829020963121276,21991,2187,24066067.00,7719,35.10,26.40,23.65
28-February-2023,1077.05,1096.40,1068.85,1077.55,1078.713847986245185334,104109,6073,112303820.00,53977,51.85,27.55,0.50
27-February-2023,1093.95,1093.95,1076.35,1083.80,1082.040828762949421084,22974,1761,24858806.00,7310,31.82,17.60,-10.15
24-February-2023,1094.00,1104.00,1082.00,1094.70,1094.267769607843137254,39168,3602,42860280.00,18007,45.97,22.00,0.70
23-February-2023,1098.15,1111.65,1092.65,1094.75,1101.886249570299071845,29090,2297,32053871.00,8889,30.56,19.00,-3.40
22-February-2023,1097.00,1105.70,1090.30,1092.45,1097.789007828726633647,62590,7826,68710614.00,34067,54.43,15.40,-4.55
21-February-2023,1117.10,1122.15,1103.20,1105.55,1111.444842209616126012,18157,1568,20180504.00,7980,43.95,18.95,-11.55
20-February-2023,1106.10,1134.50,1106.10,1115.20,1122.795794240104376522,104238,5458,117037988.00,41353,39.67,28.40,9.10
