Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2023,1569.90,1590.00,1559.70,1562.65,1575.140866706772086627,93088,3416,146626713.00,24604,26.43,30.30,-7.25
22-March-2023,1581.35,1585.55,1566.15,1575.30,1573.194938081578395018,57172,4447,89942701.00,19146,33.49,19.40,-6.05
21-March-2023,1574.00,1582.10,1556.55,1579.40,1569.658885741265344664,105900,5028,166226876.00,30444,28.75,25.55,5.40
20-March-2023,1568.00,1568.00,1545.15,1561.10,1556.059657022525398478,89277,4771,138920338.00,25279,28.32,22.85,-6.90
17-March-2023,1560.00,1578.65,1540.45,1572.55,1557.273941638311430666,83171,4818,129520031.00,26415,31.76,38.20,12.55
16-March-2023,1541.55,1559.15,1532.30,1551.45,1541.655071693303087327,331063,9085,510384953.00,238489,72.04,26.85,9.90
15-March-2023,1579.45,1580.85,1536.05,1540.75,1558.662975667348977581,143141,11691,223108577.00,56635,39.57,44.80,-38.70
14-March-2023,1564.30,1583.65,1558.90,1564.85,1571.134510145883905635,212155,13239,333324042.00,69114,32.58,24.75,0.55
13-March-2023,1583.10,1603.70,1565.00,1568.65,1586.138160261049310758,230761,13468,366018828.00,100624,43.61,38.70,-14.45
10-March-2023,1602.15,1613.60,1585.00,1588.65,1594.343543625904888382,277106,18366,441802162.00,74762,26.98,28.60,-13.50
9-March-2023,1633.45,1644.95,1626.95,1631.55,1636.782604334497307395,159511,5600,261084830.00,41140,25.79,18.00,-1.90
8-March-2023,1622.00,1639.50,1621.20,1630.40,1627.303589115461095863,264522,9087,430457600.00,93852,35.48,18.30,8.40
6-March-2023,1618.00,1638.60,1618.00,1626.35,1631.730342335177366346,85501,4872,139514576.00,27591,32.27,20.60,8.35
3-March-2023,1596.00,1619.45,1587.65,1615.55,1609.986617119692323683,153928,10057,247822020.00,91803,59.64,31.80,19.55
2-March-2023,1590.55,1606.00,1582.20,1584.65,1591.519327890639832921,52670,3529,83825323.00,22382,42.49,23.80,-5.90
1-March-2023,1606.50,1612.35,1595.30,1597.75,1601.615283296704923006,135141,7087,216443891.00,39959,29.57,17.05,-8.75
28-February-2023,1592.65,1605.10,1588.80,1601.25,1598.619277336360196746,52860,3594,84503015.00,17107,32.36,16.30,8.60
27-February-2023,1585.00,1598.60,1577.15,1592.65,1589.708539425023209094,65707,4103,104454979.00,21403,32.57,21.45,7.65
24-February-2023,1619.35,1619.35,1585.25,1588.45,1595.400444301481675076,99482,9957,158713627.00,45368,45.60,34.10,-30.90
23-February-2023,1613.05,1616.60,1592.30,1603.35,1602.151433427913699876,149432,11285,239412693.00,62744,41.99,24.30,-9.70
