Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2023,118.20,118.80,117.10,117.45,117.854101259104881677,335397,3730,39527912.00,66717,19.89,1.70,-0.75
22-March-2023,118.85,120.10,118.25,118.50,119.227721076940407795,443850,3734,52919224.00,149027,33.58,1.85,-0.35
21-March-2023,117.80,119.00,116.25,118.80,117.581452762037313185,422478,3189,49675577.00,161594,38.25,2.75,1.00
20-March-2023,120.40,120.40,115.10,116.15,116.746633686393246289,460073,4779,53711974.00,220135,47.85,5.30,-4.25
17-March-2023,117.55,118.95,115.65,118.45,117.243220864242964225,413032,3975,48425202.00,89651,21.71,3.30,0.90
16-March-2023,116.45,117.90,114.85,116.95,116.384969064686359319,476963,4871,55511324.00,194574,40.79,3.05,0.50
15-March-2023,117.30,119.60,116.40,116.85,118.422348039269577071,454805,5005,53859076.00,141635,31.14,3.20,-0.45
14-March-2023,119.30,119.65,116.55,117.05,118.079529833766305277,508501,6158,60043559.00,165470,32.54,3.10,-2.25
13-March-2023,122.60,123.40,119.00,119.65,120.666274576586604213,569597,6724,68731148.00,225782,39.64,4.40,-2.95
10-March-2023,125.65,125.95,121.25,122.40,122.779229304487646619,843939,7782,103618180.00,340463,40.34,4.70,-3.25
9-March-2023,125.00,128.40,124.65,126.10,126.857763523871631099,1289627,8403,163599197.00,623904,48.38,3.75,1.10
8-March-2023,120.05,125.15,120.05,124.65,123.680160978511734490,1158167,9267,143242281.00,698541,60.31,5.10,4.60
6-March-2023,118.35,122.20,118.20,121.45,120.830684160456635484,403648,3967,48773064.00,170807,42.32,4.00,3.10
3-March-2023,116.20,118.90,116.20,118.10,118.138605665613091269,658393,5057,77781631.00,339600,51.58,2.70,1.90
2-March-2023,115.05,116.15,114.90,115.75,115.592622321090713114,261627,2114,30242151.00,88964,34.00,1.25,0.70
1-March-2023,114.35,115.55,113.90,115.05,114.907549215007517745,200193,1871,23003687.00,69363,34.65,1.65,0.70
28-February-2023,112.65,114.80,112.10,114.25,113.618484178261043257,275349,2603,31284736.00,89895,32.65,2.70,1.60
27-February-2023,112.90,113.00,110.75,111.85,111.728202674548185474,330224,4348,36895334.00,127159,38.51,2.25,-1.05
24-February-2023,113.95,113.95,112.40,113.00,113.103756310430392744,116870,1372,13218436.00,40353,34.53,1.55,-0.95
23-February-2023,112.05,113.10,111.30,112.70,112.445181117870279657,395019,4049,44417983.00,159015,40.26,1.80,0.65
22-February-2023,113.85,113.85,111.50,112.15,112.279758644844934089,314060,2594,35262581.00,165110,52.57,2.35,-1.70
21-February-2023,114.15,115.40,112.60,113.85,114.005750873640923571,349686,3364,39866215.00,119688,34.23,2.80,-0.30
20-February-2023,115.60,116.00,113.30,113.55,114.329459945994599459,222200,2065,25404006.00,80596,36.27,2.70,-2.05
17-February-2023,116.00,116.55,114.90,115.55,115.541297387761041985,274860,3005,31757681.00,90895,33.07,1.65,-0.45
